actual_category,predicted_position,skills,education,experience,companies,id
,Subject Matter Expert,"Invoice (5 years), posting. (5 years), TRAINING (4 years)

ADDITIONAL INFORMATION

SKILLS
Invoice processing, Team handling, new joiners training.sap posting,vendor call attend and
resolve the issue,meet SLA tat,working with client tool.","Khallikote autonomous college, Berhampur university","Subject matter Expert, Subject matter Expert","Accenture, Accenture",11
,Sales Manager,"Bid management, Sales support, Requirement Analysis, Test Planning and Test execution, Requirement Analysis (Less than 1 year), Sales support (Less than 1 year), Test Planning (Less
than 1 year)",Great Lakes Institute of Management,Senior Associate Consultant,"Infosys Limited, Infosys Limited, Infosys Limited",12
,Oracle Forms Developer,"* Sincere and Hardworking in nature
* Highly Dedicated towards work

* Efficient Individual and Team Player
* Goal Oriented & Self Motivated

IT Literacy","Sindhi High School, C.B.S.E., Pre University Education","Team member, Team member","Oracle, Oracle, Oracle",13
,Network Engineer,"CSS (Less than 1 year), DHCP (Less than 1 year), HSRP. (Less than 1 year), routing protocols.
(Less than 1 year), Voip (2 years)","Sumermal Jain Public School, Senior Secondary, HMR Institute of Technology and Management in Electronics and Communication",Senior Analyst,Cisco -,14
,Preschool Teacher,Teaching,"R.D.H.S. School, Post Graduate Diploma in Clinical Data Management, R.D.H.S. School","Class teacher, Preschool Teacher",Oracle Clinical,15
,Financial Analyst,"Tally, Excel, Cloud application, Oracle application, Tally","I D S G GOVT. College, B B M in Education, Adhichunchanagiri Institute Of Technology","Process associate, Financial Analyst, Financial Analyst","Oracle, Accenture, Oracle",16
,Senior Automation Test Analyst,"Automation Testing Tools: Selenium WebDriver, Cucumber, Maven, Jenkins, Cyara
Languages/Frameworks: JAVA, Data Driven, Hybrid, Page Object model, SOAP UI, JUnit, TestNG
(TDD), Gherkin language (BDD), Cucumber, Log 4j
Defect Tracking Tools: JIRA, HP ALM
API Webservices Automation Skills: SOAP, REST, HttpClient, SOAP UI, XML, Jmeter, Postman
Test Management Tools: HP ALM, Confluence page
RDBMS: MySQL, Oracle, Mongo DB
Source Control Management: SVN, GIT
Operating Systems: Windows
Domain Knowledge: E-commerce, Financial, Banking, Telecom, Billing, TESTING (9 years), JAVA (3 years), JUNIT (2 years), ORACLE (2 years), API (1 year)","Sri Venkateshwara College of Engineering, Bachelor's in Computer Science","Technology Analyst, Technology Analyst, Technology Analyst",Infosys Limited,17
,DevOps Engineer,AWS Devops,"Sri Venkateswara university tirupati, BSC","software engineer, software engineer, Deployed chef for configuration management infrastructure","cisco, Cisco, cisco",18
,Database Administrator,"Good team working ability, Good presentation skills, Confident, Good Inter-Personal and Communication Skills, Keen learner","Crescent Public School -  New Delhi, Delhi, Crescent Public School -  New Delhi, Delhi, Bharati Vidyapeeth University -  Pune, Maharashtra","Co-coordinator of CODE HUNTER at CGC FEST, Co-coordinator of CODE HUNTER at CGC FEST",,19
,Azure Data Engineer,"problem solving (Less than 1 year), project lifecycle (Less than 1 year), project manager (Less
than 1 year), technical assistance. (Less than 1 year)",Saurashtra University,Software Engineer,"Microsoft, Microsoft, Microsoft",20
,Senior Software Engineer,"Languages: Core Java, Go Lang, Data Structures & Algorithms, Oracle
PL-SQL programming, Sales Force with APEX.
Tools: RADTool, Jdeveloper, NetBeans, Eclipse, SQL developer,
PL/SQL Developer, WinSCP, Putty
Web Technologies: JavaScript, XML, HTML, Webservice

Operating Systems: Linux, Windows
Version control system SVN & Git-Hub
Databases: Oracle
Middleware: Web logic, OC4J
Product FLEXCUBE: Oracle FLEXCUBE Versions 10.x, 11.x and 12.x, APEX. (Less than 1 year), Data Structures (3 years), FLEXCUBE (5 years), Oracle (5 years),
Algorithms (3 years)","Adithya Institute of Technology, B.E in Computer Science Engineering","Associate Consultant, Staff Consultant, Senior Consultant","Oracle, Oracle, Oracle",21
,QA Analyst,"Functional Testing, Blue Prism, Qtp","Osmania University, B.Sc. in Computer Science, Osmania University","QA Analyst, Test Analyst, Test Analyst","Oracle, Oracle, Oracle",22
,Data Analyst,"Languages & Technologies: Python, R, SQL, NoSQL, Predictive Modelling,
Market Basket Analysis, Sentimental Analysis, Clustering, Bash
Scripting (Preliminary), Socket Programming, Java (Preliminary)

• Tools: R Studio, Jupyter, GIT, Sublime, MATLAB, Linux, KVM, Virtual Box,
Open VZ, Oracle SQL Developer, MySQL, MongoDB, Excel, Python (2 years), SQL. (1 year), NOSQL (1 year), R (2 years), Machine Learning (2 years)","Manipal University, B. Tech in Electrical and Electronics in Embedded Systems, Manipal University","Data Analyst Intern, Data Analyst Intern",Oracle Retail,23
,Software Engineer,"Languages: Core Java
Front end/GUI Tools programming: Adobe Flex, GWT
Database: Oracle 10g
IDE: Eclipse, FlexBuilder
FrameWorks: Spring(Basics), MVC frame work
Operating System: Windows, Linux, Unix","University College Of Engineering, Bachelor of Technology in Computer Science, Birla Institute Of Technology","Associate Consultant, Associate Consultant, Associate Consultant","Oracle Corporation, Oracle Corporation, Oracle Corporation",24
,Java Developer,"rogramming Languages :C/C++, angular, java, java servlet, HTML, java script, MySQL, css, jsff.

Operating Systems Linux, Windows, Android

ORM Eclipse Link, Hibernate

Framework & tools :ADF, Eclipse, Android Studio, Git, Selenium, Code blocks, Net beans, R studio,
Tortoise SVN., JAVA (1 year), CSS (1 year), HTML (1 year), MYSQL (1 year), JAVASCRIPT (Less than 1 year),
Angularjs (1 year), Oracle Pl/Sql","Rashtriya Military School Bangalore, CBSE in Mathematics and English, Rashtriya Military School Bangalore","Application Developer, java developer",Oracle Financial Software Services,25
,Android Developer,"Capable and Hardworking, SQL Oracle -","State Board, Acharya College Chembur, HSC in Computer science",,NIIT,26
,SAP FICO Consultant,"Finance
• Financial Accounting- General Ledger Accounting FI-G/L (New GL),
• Accounts Payable-FI-A/P,
• Accounts Receivable FI-A/R","AG&SGS Intermediate College, Degree College, B.com","FI/CO Consultant in Tech Mahindra, FI/CO Consultant in Tech Mahindra","SAP FICO, SAP FICO, SAP FICO",27
,ITIL Incident and Change Coordinator,ITIL foundation,"Biju Patnaik University, B. Tech in Electronics and Communication","Associate consultant, Associate consultant, Associate consultant","Sap labs, Sap labs",28
,Systems Engineer,"Consistent, Hard working, Flexible, Ability to quick grasp the concepts, Destructive Testing (Less than 1 year), FORGE (Less than 1 year), Non-Destructive (Less than 1
year), Non-Destructive Testing (Less than 1 year), quality control (Less than 1 year)","Hr. Sec. School, Tamil Nadu Board Of Education, Velammal Engineering College","Systems Engineer, Systems Engineer","Infosys Limited, Infosys Limited, Infosys Limited",29
,DevOps Architect,"Program Management (2 years), Product Management (2 years), Quality Assurance (10+
years), Business intelligence, Devops","Narsee Monjee Institute of Management Studies, PGDBM","Sr Test Engineer, Sr consultant, Architect","Microsoft India, Microsoft India, Microsoft India",30
,SAP Security Consultant,"Operating systems: Windows […] 8, 10.
Languages: C, C++, C#

PROFESSIONAL SKILL SET:

• Good Communication Skills in English and Hindi.
• Ability to work under pressure., SAP Security, SAP Systems: SAP ECC 6.0.
Product Tools: GRC 10.1
Database: Oracle, SQL, RDBMS., SAP Security, SAP Security","Lovely Public Sr. Sec. School, CBSE, Lovely Public Sr. Sec. School","Systems Engineer, Systems Engineer, Systems Engineer","Infosys Ltd, Infosys Ltd",31
,Software Engineer,"• Programming Languages: Python, XML
• Database: Maria-DB, sql
• Cisco Monitoring Tools: EM7
• Operating Systems: Windows/XP
• Reporting Tools: Vportal, Splunk
• Application & Web Servers: Sciencelogic (EM7), Syslog sender, Relay server.
• Data Structure Knowledge: Intermediate, Database (3 years), Python (3 years), Splunk (Less than 1 year), SQL (3 years), xml (3 years)","rajasthan University, Compucom Insitute of Information Technology","Team Member, Team Member, Team Member","Cisco, Cisco, Cisco",32
,Senior System Engineer,,"REiume Institute of road, Bachelor of Engineering in Information Technology, Foundation Training Program in Networking",Senior System Engineer,"Infosys Limited, Infosys Limited",33
,Network Engineer,"Microsoft office, Libreoffice, Microsoft office, UART, Understanding of UART, AMBA protocol, coding","Vidyodaya P.U. College, Visvesvaraya Technological University, Srinivas Institute of Technology",Network Ops Associate,Accenture,34
,SAP ABAP Developer,"ANDROID (Less than 1 year), CISCO (Less than 1 year), NETWORKING (Less than 1 year)","Silver Bells Public School -  Muzaffarnagar, Uttar Pradesh, Paratap Public School -  Karnal, Haryana, MM University","Developer, Developer","SAP ABAP, SAP ABAP",35
,Network Engineer,"network engineers, Networking, CCNA, knowledge of Active Directory, DHCP, DNS ,
Troubleshooting and fix Network related issues (2 years)","SSVPS’s Late B. S. Deore College of Engineering, BE in computer science",Technical Support Engineer,SAP -,36
,DevOps Engineer,"Jira, Ansible, Jenkins, Splunk, Nagios, Docker, Python, AWS, Bamboo, Linux, Git, Chef, Windows,
Powershell Scripting, Atlassian Tools: Jira, Confluence
Configuration Management: Ansible /Chef
CI Tools: Jenkins
Monitoring Tools: Nagios
Cloud: AWS
Containerization: Docker
Build Tools: Bamboo\Maven
Log Tools: Splunk
Databases: RDBMS, MYSQL, Oracle Database
Programming Languages: Python and Java
Scripting: Power Shell
Operating Systems: Windows, Linux family, Redhat Linux
Middleware: Websphere, Tomcat, Websphere MQ","Sister Nivedita School, Board of Intermediate education, Secondary School Certificate in education",DEVOPS ADMINISTRATOR,"Infosys limited, Infosys limited",37
,Network Technician,"DHCP (Less than 1 year), DNS (Less than 1 year), EXCHANGE (Less than 1 year), exchange
(Less than 1 year), LAN (Less than 1 year)

ADDITIONAL INFORMATION

SKILLS:-

• Messaging: MS exchange, Lotus client and MS outlook issue coordination to user.

• Users / Share folders creation and permission assigning.

• Networking: TCP/IP, DNS, DHCP, and LAN/WAN.

• Monthly patching update activity and server owner approval / RFC follow-ups.","inDR N.G.P ARTS AND SCIENCE COLLEGE, Bachelor of computer science in computer science","Certified Network Associate Training Program, Certified Network Associate Training Program",Cisco,38
,SAP UI5 Developer,"SAPUI5 (2 years), CSS. (2 years), EMPLOYEE RESOURCE GROUP (2 years), ENTERPRISE
RESOURCE PLANNING (2 years), SAP ABAP (2 years)

ADDITIONAL INFORMATION

Technical skills
Languages SAPUI5 (Primary Skill),
ABAP/4, C, C++, HTML, CSS, JavaScript, PHP,
jQuery, Ajax.
ERP SAP R/3 in 4.7, 5.0 (E)
Operating Systems Windows
Database MySQL, Oracle",,"Senior Systems Engineer, Senior Systems Engineer, Senior Systems Engineer","Infosys Limited, Infosys Limited",39
,Software Test Engineer,"Tools: Manual Testing, Selenium (Selenium IDE, Selenium Web Driver), Eclipse IDE.
Languages: C, Core Java
Database: SQL
Operating Systems: Windows XP, 7, 8
Management Tool: HP Quality Center
Defect Tracking Tool: JIRA","Padmavani High School, Vani Jr college, Kuppam Engineering College","Software Test Engineer, Software Test Engineer, Software Test Engineer","Infosys Limited, Infosys Limited, Infosys Limited",40
,Automation Test Engineer,"LINUX (4 years), UNIX (4 years), ospf (4 years), bgp (4 years), mpls (4 years), ipsec (4 years),
multicast (4 years), l2vpn (4 years), l3vpn (4 years), tcl (4 years), python (2 years)","Rajah college, S.S.C in computer science, PES college","Senior software engineer, Senior project engineer, Senior project engineer","Cisco, Cisco, Wipro",41
,Supplier Data Management Lead,"• Desk Manuals/Business Process & Navigation Documentation
• Business Ethics
• Professional Communication
• Reporting Tools & Microsoft Office Applications, BCP (6 years), Data Governance (6 years), Data Management (6 years), Oracle (6 years),
Reporting Tools (6 years)

ADDITIONAL INFORMATION

Key Skills
• Process Management & Improvement
• Operations & Team Management
• Data Governance & Automation
• Oracle E- Business Systems experience in Supplier Data/Vendor Data management
• BCP Policies & Procedures","Vivekananda PU College, Vivekananda Degree College, Bangalore
University, Bachelors in Commerce (B.Com)","Senior Analyst -Supplier Data Management, Lead Analyst -SME -Supplier Data Management, Team lead","Oracle, Oracle, Oracle",42
,Software Automation Engineer,"Uft/qtp,alm/qc,jira,jenkins,automation testing,cicd,service vitualization,uipath



ADDITIONAL INFORMATION

Operating Systems Windows 10 / 8 / 7 / Vista / XP

Domains Banking and Finance

Frameworks Data driven framework, Keyword driven framework

Tools HP-UFT, HP-SV, HP-ALM/QC, SOAP UI, JENKINS, UiPath

Methodologies STLC, Agile and waterfall.

Project Management Tools JIRA

TECHNICAL SKILLS

• 2.5+years of professional experience in SQL.
• Has hands on experience on Oracle DB (Oracle 11g)
• Has extensive knowledge of Testing Procedures and various
phases of Testing Has 2+ years of experience on QC/ALM
• Has 2+ years working experience in API & GUI testing
using HP UFT. Has 4 months of experience with uiPath
• Has 2+ years working experience in SOAP UI.
• Has 1.5+ year working experience on service virtualization using HP SV tool.
• Has 6 months working experience in JIRA during work under agile methodology.
• Has undergone Infosys Training in .Net Testing.
• Has knowledge about CICD (Continuous integration and continuous delivery)

PROJECT UNDERTAKEN

DI-Middleware testing (August 14 -
July 17) Domain- Accounts and customer.
Client- ABN AMRO Bank (Netherland's bank)
Project Name- ESB (Enterprise service bus)
• Tools- ALM, SQL Developer, HP UFT, HP SV, SOAP UI, JENKINS, JIRA.
In this project, we were validating end to end communication of consumer & provider via ESB.
What consumer actually
sent to the Provider and how provider responds to the consumer. Testing included System
Integration Testing,
Regression Testing, GUI Testing and Reports.","Meghnad saha institute of technology, B.Tech in CSE","Software Automation Engineer, Software Automation Engineer",,43
,QA Lead,"QA (7 years), TESTING (6 years), ESTIMATION (6 years), AMDOCS (Less than 1 year), BILLING
(Less than 1 year)

ADDITIONAL INFORMATION

SKILLS AND COMPETENCIES
Domain and Functional Expertise Tools and Languages:
• Telecommunications and IPTV Systems • NetCracker, NetProvision, Insight (IISY), HDM (Nokia),
Trouble Ticketing
• Test/QA Lead • Click Schedule, FieldLink, AMDOCS-Ordering, Billing - Product Catalog
• Project Management • IBM - TOCP, Mediaroom, MediaFirst TV3 platform (Ericsson)
• Software Testing and Defect Management • HP QC 10, JIRA, TDP, Accenture Test Estimation Tool
• Lead to Order and Order to Cash Management • Caliber RM (Requirement Gathering),
Confluence, Clear Quest
• Service Provisioning and Activation • Worksoft Certify, QTP, Java, Selenium, SQL, HTML, XML
• Business Analysis (Requirement Management) • Splunk, WinSCP, SOAP UI, Kibana, Wireshark
• Automation • Proficiency in MS Office (Word, Excel, PowerPoint and Visio)","Canossa Convent School, Canossa Convent Girls Inter College, Amity University","Senior Software Analyst, Senior Software Analyst, Senior Software Analyst","Accenture, Accenture, Accenture",44
,System Engineer,"Active Directory (2 years), Microsoft office, Windows,End user computing (3 years)","Rajiv Gandhi Institute of Technology, Al-Ameen PU College, Visveswaraiah Technological University","IT Operations Analyst, System engineer","Accenture, Accenture",45
,Systems Engineer,"active directory, iis, sccm, dhcp, sql, wsus, dns

ADDITIONAL INFORMATION

Computer Skills
● MS Office Tools: MS Excel, MS Word, MS Power Point.
● Hands on experience on all versions of Windows.
● Sound knowledge of internet and networking.
● Coding Languages: C, C++, Java.","KIIT college of Engg., B.tech","Server Support Engineer, Server Support Engineer","Microsoft, Microsoft",46
,Test Engineer,"SKILL SET • ASP.NET, C# • QA tools

• Coding and modularization • Excellent communication skills

• VB, VB.net, ASP • Technical specifications creation

• HTML • System backups

• Sql server 2005, Oracle • System upgrades

• Java/C/C++ • Excellent problem-solving abilities

Navas Najeer Koya 3, C# (Less than 1 year), .NET, SQL Server, Css, Html5",Bachelor of Computer Application,"Test Engineer, Test Engineer, System Engineer","Infosys, Infosys, Infosys",47
,Management Trainee,"Basic Computers knowledge
● Good Understanding of Business Ethics, Operational Research.
● Completed Project Work on working capital with A+ Grade.","Guru Nanak English High School and Jr cllg, H.S.C, Vedanta College of management and information technology",fresher job,Accenture,48
,SAP ABAP Consultant,"• Trained on SAP S4 HANA.
• Having knowledge of Code Push down, CDS view and it's consumption in ABAP.
• Data Modeling, creation of different type of views.
• AMDP.
• ADBC connectivity.
• Familiar with SQL, DDL, DML syntaxes.
• Work on Windows 7, Windows XP, Windows 8, Windows 10 OS, can work on C, C++, SAP (2 years), ABAP (2 years), ADBC (Less than 1 year), C++ (Less than 1 year), DATA
MODELING (Less than 1 year)","UPTU. India, Master of Computer Application","Consultant, Consultant, Consultant","SAP ABAP, SAP ABAP, SAP ABAP",49
,Test Engineer,"Technical Experience: - Automation Testing (REST API, Service Virtualization), Functional Testing,
Regression Testing
Manual Testing, Scripting (SQL)
Domain Experience: - Telecom, Banking
Programming & Scripting Languages: - HTML, CSS, XML, SQL, JAVA (Basic), JSON
SDLC Model: -Waterfall, Agile
Testing Tools: - CA LISA, APM (Amdocs Process Manager), SOAP UI, TOSCA, HP-ALM (QC)
Test Management Tools: -JIRA, Quality Center
Other Tools: -SQL Developer, TOAD.
Database: - DB2, SQL, API. (1 year), Scripting. (1 year), SOAP (1 year), UI (1 year), XML (3 years)","Central India Institute, Bachelor in Electronics, State Board","Test Engineer, Test Engineer, Test Engineer",Infosys Limited,50
,Product Manager,"Platform business model, Behaviour design, Python, Django, Celery, Java, AngularJS, HTML, Bootstrap 3, Shell Script, MySQL, MongoDB,
Ubuntu, Django (6 years), Java (3 years), MongoDB (3 years), MySQL (3 years), Python (6 years)","IIIT, VIT, M.Tech. in IT","System Engineer, Software Engineer, Product Development","Infosys, Cisco, Cisco",51
,PeopleSoft Consultant,"• Programming Language: core java, peoplecode.
• Scripting languages: PHP, JavaScript.
• Web Languages: HTML, CSS.
• Database Language: Sql.
• Frameworks: Bootstrap, JQuery.
• IDE's: NetBeans, Eclipse.
• Tools: Application Designer, Toad., Php, Html5, Javascript, Css, Bootstrap, Jquery, Sql","Vijaya High School, e-commerce, Vijaya composite p.u. college",PeopleSoft consultant,"Oracle, Oracle",52
,Software Engineer,"REST, Angular JS, DOJO, CSS, HTML","Institute of Road and Transport May, B.Tech","SYSTEMS ENGINEER, INDUSTRY BANKING, SYSTEMS ENGINEER","CISCO, CISCO",53
,IT Consultant,"• Good communication - written and oral skills
• Excellent conceptual and analytical skills
• Effective interpersonal skills

PERSONALITY
• Communicative • Punctuality
• Creativity • Organized, Java, Jsp, Html, Sql, C++, Javascript","Notre Dame Academy, C.B.S.E., Vellore Institute of Technology","Senior System Engineer, Senior System Engineer","Infosys Limited, Infosys Limited, Infosys Limited",54
,DevOps Engineer,"CHEF, AWS, AWS, weblogic, Docker","Annamacharya Institute of Technology, Annamacharya Institute of Technology, B.Tech","Configuration Engineer, Configuration Engineer, Configuration Engineer","Oracle, Oracle, Oracle",55
,Oracle Applications Principal Consultant,"Extension, PLSQL, BI Publisher Reports, Oracle Reports, AP, HRMS, GL, Conversion, Oracle Apps
technical, Interface, AR, TOAD, OLFM, SQL, FA

ADDITIONAL INFORMATION

Software Skills:

ERP-Oracle Applications 11i, R12
Accounts Receivable, Accounts Payable, Fixed Assets, General Ledger, Oracle Lease and Finance
Management, Purchasing and HRMS (Employee, Assignment, Contacts, Pay methods, Job and
Location)

RDBMS Oracle […]
LANGUAGES C++
TOOLS Toad, SQL Developer, Kintana, Report Builder 6i/10g, Discoverer Admin/Desktop/Plus/
Viewer and BI Publisher","Visvesvaraya Technological University, Dayanand Sagar College of Engineering, Bachelor of Engineering in Engineering","Principal Consultant, Principal Consultant, Principal Consultant","Oracle, Oracle, Oracle",56
,HR & SAP Consultant,"Front End Tool
Languages
SAP Technologies HR and Administration Functional Module
Database FOXPRO 6.22
Concepts OOP'S, Networking, DBMS, Operating System.
Operating System MS-Dos […] & MS OFFICE 2007, 2008 & 2010, HR (10+ years), SAP (10+ years), APPRAISAL (Less than 1 year), BUYING/PROCUREMENT (Less
than 1 year), DATABASE (Less than 1 year)",,"Officer-HR & Administration in H.& R. Johnson (India), Officer-HR & Administration in H.& R. Johnson (India), Officer-HR & Administration in H.& R. Johnson (India)","SAP, SAP, SAP",57
,Network Administrator,"✓ ADVANCED MS OFFICE (WORD, POWERPOINT, EXCEL, ETC.)
✓ ADOBE PHOTOSHOP, READER X, ACROBAT, COREL DRAW, MICROMEDIA FLASH ETC.
✓ JAVA NETBEANS, SQL, HTML, CMD PROMPT, ETC.
✓ FAMILIAR WITH ALL SORTS OF WINDOW SETS AND WEB BROWSERS.
✓ ALL KINDS OF UTILITY SOFTWARES AND HARDWARE OPTIONS TO INCREASE EFFICIENCY AND
EFFECTIVENESS IN WORKING.
✓ COMPLETE KNOWLEDGE OF MICROSOFT EXCHANGE SERVER 2012.
✓ CAN DEVELOP WEBSITES BASED ON HTML, PHP ETC.
✓ BASIC KNOWLEDGE OF ANDROID AND MAC APPLICATIONS.
✓ COMPLETE KNOWLEDGE OF SERVER AND CLIENT BASED ENVIRONMENT
✓ BASIC KNOWLEDGE OF MICROSOFT WINDOWS FIREWALL, A computer expert with hardware and software grab.
✓ Administration and Back-end handling (Technical) on overall basis of the Branch.
✓ Convincing people tactfully so as to make the company an option for the user., Firewall (1 year), HTML (1 year), MICROSOFT WINDOWS (1 year), Router (1 year), security. (1
year)","Aptech Institute of Technology, Aptech Institute of Technology, Computer Networking",,"Cisco, Cisco, Cisco",58
,Software Engineer,"Windows and Linux, Eclipse, PyCharm, Databases: Oracle, Mysql, Java, C, C++, Python, Batch, python, java","North Maharashtra University, B.E. in ENC","Associate Software Engineer, Associate Software Engineer",Oracle India Pvt Ltd,59
,DevOps Engineer,"Scripting Languages: Shell Scripting
Configuration Management: Ansible.
Container service: Docker, Cloud Technologies: AWS

Operating Systems: Linux, Windows.
Version Control Systems: GIT
Automated Build Tools: Maven
Continuous Integration: Jenkins, AWS (3 years), Tomcat, Ansible, git, LAMP, docker, jenkins, Maven, Jira","Vaughn College of Aeronautics and Technology, Bachelor Of Science","Process Associate, Software Engineer, Software Engineer","Microsoft, HCL Technologies -, Disney",60
,Project Manager,"Soft Skills

Communicator, Innovator, Team Player, Analytical Collaborator. Intuitive

Technical Skills
• Google AdWords, Google Analytics, Inbound Marketing, SEO (On-page and Off- page), SEM,
Facebook Ads and Social
•Project Management, MS Project Professional
Media Campaigns (Content Bucketing)
• Tableau, Microsoft Power BI, SPSS
• MS Office Suite, Advanced Excel, MS SharePoint, Visio, Adobe Photoshop, Pega Marketing and
BPM, Adobe Photoshop (Less than 1 year), Ads (Less than 1 year), BI (1 year), Business Intelligence
(1 year), MS Excel (2 years), presales (1 year), Tableau (1 year), Pega Marketing and BPM (Less
than 1 year), MS Word (2 years), MS Powerpoint (2 years), MS Sharepoint (2 years), Spss (Less
than 1 year), IBM Maximo (Less than 1 year), marketing strategy (2 years), Business Analysis
(2 years), communication and soft skills (2 years), Project Management (2 years), Project
Planning (2 years), Team Management (1 year)",,"Associate Consultant, Associate Consultant, Senior Associate Consultant","Infosys -  Pune, Maharashtra -, Infosys Limited, Infosys/Offshore Lead",61
,Software Development Director,"UNIX, Windows, Linux, SQL, PL/SQL, HTML, XML, JAVA, JDK, J2EE, Oracle ADF, Oracle JDeveloper, Relational data modeling, Object Oriented Modeling & Design, UML, SOAP","Nagarjuna University, B.S. in Electronics & Communications Engineering, Texas A&M University -  Kingsville, TX","Project Lead, Principal Applications Developer, Senior Development Manager","Oracle Inc, Oracle Inc, Oracle Inc",62
